Image,Predicted_Class,Confidence_Score
20190402163258_OBJ_0_855_351.png,buckwheat,0.8535134
20190402163953_OBJ_2_685_452.png,birch,0.8546717
20190402164018_OBJ_3_762_481.png,buckwheat,0.33789164
20190402164058_OBJ_1_613_524.png,birch,0.9980691
20190402164113_OBJ_2_337_489.png,birch,0.99273986
20190402165159_OBJ_0_1164_216.png,birch,0.9203667
20190402165310_OBJ_4_610_96.png,birch,0.99955136
20190402165451_OBJ_8_711_66.png,hill_mustard,0.81300384
20190402165536_OBJ_0_207_750.png,hill_mustard,0.6114273
20190402165608_OBJ_3_482_279.png,hill_mustard,0.9998258
20190402165615_OBJ_3_688_506.png,hill_mustard,0.9999769
20190402165615_OBJ_5_987_198.png,birch,0.99816173
20190402165615_OBJ_6_783_62.png,birch,0.9654398
20190402165648_OBJ_5_855_465.png,birch,0.9928918
20190402165700_OBJ_1_947_201.png,birch,0.9960573
20190402165709_OBJ_2_841_187.png,birch,0.90968585
20190402165728_OBJ_0_355_700.png,hill_mustard,0.39197448
20190402165728_OBJ_3_145_205.png,hill_mustard,0.9986908
20190402165750_OBJ_0_795_595.png,birch,0.94295716
20190402165827_OBJ_3_442_338.png,birch,0.9979569
20190402165846_OBJ_1_786_120.png,birch,0.9783653
20190402170004_OBJ_0_1027_682.png,hill_mustard,0.91959894
20190402170015_OBJ_1_1099_663.png,hill_mustard,0.9973882
20190402170015_OBJ_2_941_591.png,birch,0.9998603
20190402170030_OBJ_0_1157_632.png,birch,0.97142047
20190402170042_OBJ_6_1194_138.png,birch,0.8395316
20190402170124_OBJ_0_1041_666.png,hill_mustard,1.0
20190402170218_OBJ_4_1104_350.png,hill_mustard,0.9999865
20190402170232_OBJ_1_541_876.png,hill_mustard,0.6842472
20190402170247_OBJ_4_675_198.png,hill_mustard,0.99998283
20190402170301_OBJ_7_66_224.png,hill_mustard,0.9975706
20190402170307_OBJ_0_115_849.png,hill_mustard,0.83410597
20190402170307_OBJ_10_267_328.png,hill_mustard,0.99999917
20190402170307_OBJ_11_387_308.png,hill_mustard,0.9999807
20190402170312_OBJ_4_861_329.png,hill_mustard,0.9999447
20190402170312_OBJ_8_316_51.png,birch,0.7115498
20190402170329_OBJ_0_314_847.png,hill_mustard,0.9999932
20190402170329_OBJ_1_447_837.png,hill_mustard,0.99996257
20190402170335_OBJ_4_145_427.png,birch,0.99994075
20190402171400_OBJ_0_1186_870.png,birch,0.94459134
20190402171411_OBJ_2_840_124.png,birch,0.98360115
20190402171415_OBJ_2_769_636.png,hill_mustard,0.9999989
20190402171430_OBJ_4_351_458.png,hill_mustard,0.99039394
20190402171449_OBJ_11_254_378.png,hill_mustard,0.99992406
20190402171503_OBJ_0_641_662.png,hill_mustard,0.99996984
20190402171511_OBJ_2_1108_574.png,hill_mustard,0.9999907
20190402171518_OBJ_6_822_392.png,hill_mustard,0.9999542
20190402171531_OBJ_3_230_767.png,hill_mustard,0.99937266
20190402171539_OBJ_13_586_135.png,birch,0.9968792
20190402171539_OBJ_1_975_570.png,hill_mustard,0.9999912
20190402171539_OBJ_3_741_493.png,hill_mustard,0.98247993
20190402171547_OBJ_0_880_602.png,hill_mustard,0.9999962
20190402171547_OBJ_1_154_552.png,hill_mustard,0.9999964
20190402171637_OBJ_0_201_891.png,hill_mustard,0.61040485
20190402172007_OBJ_0_1061_622.png,birch,0.98994094
20190402172022_OBJ_2_425_482.png,hill_mustard,0.9999994
20190402172029_OBJ_1_715_611.png,linden,0.5432197
20190402172037_OBJ_0_613_788.png,hill_mustard,0.998489
20190402172037_OBJ_4_343_529.png,hill_mustard,0.9999037
20190402172044_OBJ_0_167_916.png,hill_mustard,0.9951567
20190402172044_OBJ_3_426_661.png,hill_mustard,0.9999863
20190402172044_OBJ_9_606_240.png,hill_mustard,0.99750465
20190402172050_OBJ_0_1040_821.png,hill_mustard,1.0
20190402172050_OBJ_19_366_79.png,hill_mustard,0.99816054
20190402172050_OBJ_2_118_805.png,hill_mustard,0.97870195
20190402172050_OBJ_4_540_690.png,birch,0.83165336
20190402172050_OBJ_8_525_597.png,hill_mustard,0.9717458
20190402172103_OBJ_0_649_826.png,birch,0.8688118
20190402172108_OBJ_0_796_705.png,hill_mustard,0.9948297
20190402172108_OBJ_6_1236_239.png,hill_mustard,0.9985415
20190402172118_OBJ_5_881_484.png,hill_mustard,0.99997497
20190402172118_OBJ_7_735_451.png,hill_mustard,0.9996598
20190402172123_OBJ_4_576_360.png,birch,0.854634
20190402172132_OBJ_0_328_819.png,hill_mustard,0.45349714
20190402172137_OBJ_2_497_414.png,hill_mustard,0.9941298
20190402172137_OBJ_8_1064_149.png,hill_mustard,0.99998796
20190402172142_OBJ_2_158_683.png,hill_mustard,1.0
20190402172142_OBJ_5_746_93.png,birch,0.9637047
20190402173027_OBJ_2_731_136.png,hill_mustard,0.8464206
20190402173056_OBJ_4_145_197.png,birch,0.9989208
20190402173106_OBJ_0_828_247.png,hill_mustard,0.974261
20190402173125_OBJ_6_257_183.png,hill_mustard,0.9960264
20190402173130_OBJ_3_1027_489.png,birch,0.99703133
20190402173134_OBJ_0_602_788.png,birch,0.97399306
20190402173134_OBJ_10_59_207.png,hill_mustard,0.9999988
20190402173134_OBJ_6_893_286.png,hill_mustard,0.9988005
20190402173138_OBJ_0_803_813.png,hill_mustard,0.99977106
20190402173138_OBJ_12_762_187.png,birch,0.99296594
20190402173143_OBJ_4_868_347.png,hill_mustard,0.99599236
20190402173159_OBJ_0_753_625.png,hill_mustard,0.99999106
20190402173204_OBJ_4_485_611.png,hill_mustard,1.0
20190402173204_OBJ_6_607_397.png,birch,0.90693086
20190402173613_OBJ_8_1076_116.png,buckwheat,0.9807819
20190402173735_OBJ_7_900_327.png,birch,0.9954685
20190402173804_OBJ_2_579_208.png,hill_mustard,0.9039203
20190402173826_OBJ_2_187_678.png,hill_mustard,1.0
20190402174538_OBJ_0_369_860.png,birch,0.99354905
20190402174646_OBJ_0_772_784.png,birch,0.9712352
20190402174653_OBJ_0_631_668.png,hill_mustard,0.99999535
20190402174725_OBJ_1_577_804.png,birch,0.51822674
20190402174737_OBJ_5_629_436.png,hill_mustard,0.99711657
20190402174753_OBJ_0_60_582.png,hill_mustard,0.99999
20190402174753_OBJ_1_597_562.png,birch,0.9989336
20190402174807_OBJ_3_675_495.png,buckwheat,1.0
20190404105005_OBJ_20_462_314.png,hill_mustard,0.89968807
20190404105005_OBJ_26_77_114.png,hill_mustard,0.997463
20190404105005_OBJ_3_785_881.png,hill_mustard,0.94550276
20190404105009_OBJ_12_1049_691.png,hill_mustard,0.99997413
20190404105009_OBJ_15_716_627.png,hill_mustard,0.9992137
20190404105009_OBJ_18_645_591.png,hill_mustard,1.0
20190404105009_OBJ_22_1235_490.png,hill_mustard,0.97669333
20190404105009_OBJ_23_408_465.png,hill_mustard,0.99937564
20190404105009_OBJ_29_421_329.png,hill_mustard,0.9939867
20190404105009_OBJ_32_120_269.png,hill_mustard,0.99980587
20190404105009_OBJ_37_800_126.png,hill_mustard,0.992241
20190404105009_OBJ_4_694_836.png,hill_mustard,0.9998975
20190404105009_OBJ_6_1112_799.png,hill_mustard,0.9999945
20190404105014_OBJ_15_1019_326.png,hill_mustard,0.9447931
20190404105014_OBJ_18_504_298.png,hill_mustard,0.99998677
20190404105014_OBJ_9_839_545.png,hill_mustard,0.99371356
20190404105018_OBJ_11_877_533.png,hill_mustard,0.99989593
20190404105018_OBJ_19_708_705.png,hill_mustard,0.99816245
